date,0,1,2,3,4,5,6,7
2015-04-16,-0.63885474,-0.6152862,0.13042118,0.22996333,0.13244872,-0.19320521,-0.3153468,0.010260709
2015-04-17,-0.18660039,-0.34133613,0.23063292,0.12232555,0.14837082,0.04311633,-0.16840419,0.20117061
2015-04-20,-0.22803462,-0.3476829,0.20724945,0.22393176,0.11002608,0.0024944823,-0.13035327,0.11566232
2015-04-21,-0.7819141,-0.7312877,0.10842097,0.09559996,0.22496644,-0.23827577,-0.47022754,0.17923927
2015-04-22,-0.38968244,-0.48226047,0.25243136,0.09571075,0.1506477,0.009135276,-0.27761716,0.12767993
2015-04-23,-0.5187446,-0.5564689,0.20221116,0.12827098,0.14826055,-0.08899227,-0.31530258,0.09134027
2015-04-24,-0.4654497,-0.5325089,0.25168693,0.11353369,0.22257468,0.08327347,-0.33806813,0.22306034
2015-04-27,-0.204906,-0.36876923,0.31928053,0.10471061,0.14530948,0.15783334,-0.19275373,0.15443113
2015-04-28,0.064312965,-0.20612787,0.3443808,0.10162237,0.1337007,0.22662824,-0.04376466,0.2163338
2015-04-29,-0.73299265,-0.690611,0.11745784,0.12922722,0.20119052,-0.21659914,-0.42474598,0.1395972
2015-04-30,-0.4933139,-0.52962583,0.16510992,0.17672202,0.14531545,-0.11628567,-0.27246246,0.09332194
2015-05-04,-0.18826978,-0.33664173,0.24832265,0.15113999,0.14721031,0.08266999,-0.16821887,0.20129022
2015-05-05,-0.06478983,-0.27506417,0.3106178,0.16125108,0.13415328,0.18765922,-0.08222636,0.18723564
2015-05-06,-0.5632225,-0.55333686,0.09614116,0.23974565,0.08701813,-0.2709759,-0.25311944,-0.0067178607
2015-05-07,-0.30085325,-0.408022,0.24453495,0.17011526,0.13324471,0.041082244,-0.20489572,0.12724623
2015-05-08,-0.6474838,-0.63315254,0.1343559,0.17216177,0.26215634,-0.07048177,-0.38799536,0.25942865
2015-05-11,-0.59158945,-0.6024206,0.13025045,0.07180799,0.224642,-0.16160935,-0.39673993,0.2625472
2015-05-12,-0.3355751,-0.46093208,0.27010235,-0.007386267,0.19426292,0.050036635,-0.33244193,0.26815706
2015-05-13,-0.3177082,-0.42055976,0.23875247,0.14723821,0.10858205,-0.012758112,-0.20862976,0.08855508
2015-05-14,-0.29224038,-0.42027736,0.270023,0.11306285,0.12553981,0.04213117,-0.20855755,0.09233341
2015-05-15,-0.37498808,-0.4645884,0.18449812,0.060389537,0.18626477,-0.06974532,-0.29660025,0.25446808
2015-05-18,-0.59245443,-0.61521524,0.20668218,0.095727265,0.1790059,-0.08528343,-0.3759576,0.10648391
2015-05-19,-0.15063035,-0.31975016,0.2231208,0.013855346,0.19882089,0.047882702,-0.24927649,0.3591839
2015-05-20,-0.62772095,-0.6178804,0.16191219,0.13198063,0.14812627,-0.17548873,-0.37294134,0.082334936
2015-05-21,-0.565107,-0.5834088,0.15075903,0.13930205,0.17975466,-0.13827194,-0.33080843,0.14025368
2015-05-22,0.00396426,-0.24260509,0.29490688,0.04003744,0.15502267,0.15690096,-0.11245559,0.25824654
2015-05-25,-0.39795294,-0.4641561,0.16985406,0.14076956,0.14997488,-0.096093416,-0.26117504,0.17524777
2015-05-26,-0.6503681,-0.63966864,0.16309097,0.16702327,0.2060216,-0.09704134,-0.37666032,0.12932685
2015-05-27,-0.13392013,-0.3156318,0.26117137,0.054879446,0.19951682,0.12903401,-0.20991994,0.32955348
2015-05-28,-0.17079413,-0.3349517,0.3371775,0.21586078,0.091560885,0.18922779,-0.10800071,0.05419416
2015-05-29,-0.44622183,-0.49055737,0.1404482,0.10538165,0.13148296,-0.1946473,-0.30006787,0.17551339
2015-06-01,-0.64796555,-0.63654304,0.13415211,0.13734384,0.19760954,-0.16532262,-0.3758944,0.14742067
2015-06-02,-0.57074463,-0.58729875,0.163917,0.12553808,0.2431334,-0.05059058,-0.38001922,0.2705505
2015-06-03,-0.26783127,-0.41125822,0.3376677,0.045694426,0.18103306,0.17420939,-0.28241265,0.22125795
2015-06-04,0.003974378,-0.27349025,0.39953876,0.16063303,0.19927175,0.39296812,-0.052081574,0.26764315
2015-06-05,-0.12058934,-0.3178022,0.36450294,0.16485548,0.1158686,0.23446672,-0.10759146,0.104569525
2015-06-08,0.10437693,-0.20345528,0.37184417,0.029102512,0.17584692,0.28548768,-0.060832974,0.28693715
2015-06-09,-0.40458733,-0.5006459,0.2924332,0.16102698,0.16263512,0.11229479,-0.25465754,0.064589344
2015-06-10,-0.57465255,-0.59419084,0.14362396,0.021697395,0.20939268,-0.17812815,-0.4202754,0.2702499
2015-06-11,-0.2728582,-0.40089208,0.25189307,0.13630402,0.16661881,0.08142336,-0.21612984,0.19030708
2015-06-12,-0.26324552,-0.3990065,0.24808393,0.06041953,0.15238841,0.021566033,-0.24227065,0.20497644
2015-06-15,0.102625415,-0.19182831,0.39890993,0.051979236,0.11999422,0.25606015,-0.037921213,0.17716214
2015-06-16,-0.07791664,-0.27670896,0.2263848,0.025488548,0.1253577,0.001002999,-0.16099513,0.2241111
2015-06-17,-0.4363083,-0.54017633,0.2445681,-0.07726825,0.25181875,0.009206099,-0.41328803,0.34125897
2015-06-18,0.007726878,-0.22598748,0.34560093,0.17234716,0.065834805,0.15468132,-0.0012153015,0.056900643
2015-06-19,-0.24701932,-0.37749463,0.25870594,0.1651922,0.11879121,0.058856066,-0.16928005,0.09956157
2015-06-23,-0.25464255,-0.4147628,0.3609384,-0.029123,0.19325443,0.18114708,-0.31486824,0.24766792
2015-06-24,-0.20700532,-0.37593794,0.3422946,0.14353178,0.16256413,0.23353058,-0.17802218,0.16120718
2015-06-25,0.005977854,-0.22213279,0.30367124,0.14282319,0.07242307,0.10542713,-0.029654592,0.100382276
2015-06-26,0.2438289,-0.12296624,0.4625221,0.12368674,0.16165632,0.3493723,0.08861139,0.21735168
2015-06-29,0.39205992,-0.07393514,0.52742666,0.06819321,0.20680133,0.42160085,0.12715194,0.2731316
2015-06-30,-0.6350006,-0.7155446,0.050419774,-0.5557103,0.31826362,-0.5344032,-0.7148731,0.66178197
2015-07-01,-0.64615226,-0.61362505,0.16797052,0.35238767,0.050493933,-0.17592865,-0.24882615,-0.22626641
2015-07-02,-0.21740705,-0.34247285,0.22238769,0.3463068,0.061458122,0.016217463,-0.008265831,-0.06858726
2015-07-03,-0.3960792,-0.5083429,0.111722514,-0.24512571,0.093232095,-0.44980523,-0.40654734,0.20647945
2015-07-06,0.7760937,0.029810242,0.7823849,0.079641476,0.29371396,0.6226714,0.37989146,0.2989835
2015-07-07,0.26914498,-0.12035635,0.44997117,0.018834181,0.17289254,0.33105356,0.035405852,0.25059253
2015-07-08,-0.3205281,-0.42579198,0.18323345,0.11939474,0.11439629,-0.111651406,-0.20021588,0.10124727
2015-07-09,-1.2714858,-1.077559,0.08624169,0.22637224,0.20148224,-0.3938073,-0.67817897,-0.055465177
2015-07-10,-0.30049163,-0.41783077,0.24486111,0.117838874,0.15358968,0.038190898,-0.23193014,0.17154649
2015-07-13,-0.20331532,-0.3417353,0.1815161,0.105044894,0.15982167,-0.030127954,-0.20008606,0.27274808
2015-07-14,-1.0110948,-0.8742365,0.09857112,0.41824627,0.1521109,-0.21915248,-0.45309693,-0.16974524
